MODELE TELESCOPIQUE;DEPORT MINIMAL;DEPORT MAXIMAL
DIECI ICARUS 60.18 - GD;1,55;13,4
DIECI SAMSON 50.8 VS EVO2 - GD;0,58;3,7
DIECI SAMSON 60.9 EVO2 - GD;0,93;4,4
DIECI SAMSON  65.8 VS EVO2 - GD;0,58;3,7
DIECI SAMSON 75.10 - GD;0,92;4,9
"CLAAS SCORPION 733 VARIPOWER	";0,55;5,29
"CLAAS SCORPION 1033 VARIPOWER	";0,88;6,7
CLAAS SCORPION 638 VARIPOWER;0,45;5,49
"CLAAS SCORPION 738 VARIPOWER	";0,65;5,29
"CLAAS SCORPION 742 VARIPOWER	";0,65;5,29
CLAAS SCORPION 960 VARIOPOWER PLUS;0,88;4,28
CLAAS SCORPION 756 VARIOPOWER PLUS;0,58;3,33
CLAAS SCORPION 848 VARIOPOWER PLUS;0,5;4,2
CLAAS SCORPION 746 VARIOPOWER ;0,55;3,3
CAT TH336;0,75;3,1
