CULTURE STOCKEE;ANGLE DE TALUS
Ble;27
Orge;27
Colza;25
Mais;22
Avoine;27
Riz;25
Tournesol;30
Soja;25
Moutarde;25
Engrais;25
Sel ;32
Pois;25
Sable ;34
